split,category,sample_id,raw_zip_relative_path,label_zip_relative_path,raw_zip_public_url,label_zip_public_url,raw_zip_name,label_zip_name,video_member_name,label_member_name
1.Training,T자형교차로,bb_1_120608_vehicle_192_024,1.Training/raw_data_231108_add/TS_차대차_영상_T자형교차로.zip,1.Training/label_data_231108_add/TL_차대차_영상_T자형교차로.zip,https://data.taeo-dev.com/dataset/traffic/1.Training/raw_data_231108_add/TS_%EC%B0%A8%EB%8C%80%EC%B0%A8_%EC%98%81%EC%83%81_T%EC%9E%90%ED%98%95%EA%B5%90%EC%B0%A8%EB%A1%9C.zip,https://data.taeo-dev.com/dataset/traffic/1.Training/label_data_231108_add/TL_%EC%B0%A8%EB%8C%80%EC%B0%A8_%EC%98%81%EC%83%81_T%EC%9E%90%ED%98%95%EA%B5%90%EC%B0%A8%EB%A1%9C.zip,TS_차대차_영상_T자형교차로.zip,TL_차대차_영상_T자형교차로.zip,bb_1_120608_vehicle_192_024.mp4,bb_1_120608_vehicle_192_024.json
1.Training,T자형교차로,bb_1_141128_vehicle_21_044,1.Training/raw_data_231108_add/TS_차대차_영상_T자형교차로.zip,1.Training/label_data_231108_add/TL_차대차_영상_T자형교차로.zip,https://data.taeo-dev.com/dataset/traffic/1.Training/raw_data_231108_add/TS_%EC%B0%A8%EB%8C%80%EC%B0%A8_%EC%98%81%EC%83%81_T%EC%9E%90%ED%98%95%EA%B5%90%EC%B0%A8%EB%A1%9C.zip,https://data.taeo-dev.com/dataset/traffic/1.Training/label_data_231108_add/TL_%EC%B0%A8%EB%8C%80%EC%B0%A8_%EC%98%81%EC%83%81_T%EC%9E%90%ED%98%95%EA%B5%90%EC%B0%A8%EB%A1%9C.zip,TS_차대차_영상_T자형교차로.zip,TL_차대차_영상_T자형교차로.zip,bb_1_141128_vehicle_21_044.mp4,bb_1_141128_vehicle_21_044.json
1.Training,T자형교차로,bb_1_150301_vehicle_41_158,1.Training/raw_data_231108_add/TS_차대차_영상_T자형교차로.zip,1.Training/label_data_231108_add/TL_차대차_영상_T자형교차로.zip,https://data.taeo-dev.com/dataset/traffic/1.Training/raw_data_231108_add/TS_%EC%B0%A8%EB%8C%80%EC%B0%A8_%EC%98%81%EC%83%81_T%EC%9E%90%ED%98%95%EA%B5%90%EC%B0%A8%EB%A1%9C.zip,https://data.taeo-dev.com/dataset/traffic/1.Training/label_data_231108_add/TL_%EC%B0%A8%EB%8C%80%EC%B0%A8_%EC%98%81%EC%83%81_T%EC%9E%90%ED%98%95%EA%B5%90%EC%B0%A8%EB%A1%9C.zip,TS_차대차_영상_T자형교차로.zip,TL_차대차_영상_T자형교차로.zip,bb_1_150301_vehicle_41_158.mp4,bb_1_150301_vehicle_41_158.json
1.Training,T자형교차로,bb_1_150530_vehicle_224_23223,1.Training/raw_data_231108_add/TS_차대차_영상_T자형교차로.zip,1.Training/label_data_231108_add/TL_차대차_영상_T자형교차로.zip,https://data.taeo-dev.com/dataset/traffic/1.Training/raw_data_231108_add/TS_%EC%B0%A8%EB%8C%80%EC%B0%A8_%EC%98%81%EC%83%81_T%EC%9E%90%ED%98%95%EA%B5%90%EC%B0%A8%EB%A1%9C.zip,https://data.taeo-dev.com/dataset/traffic/1.Training/label_data_231108_add/TL_%EC%B0%A8%EB%8C%80%EC%B0%A8_%EC%98%81%EC%83%81_T%EC%9E%90%ED%98%95%EA%B5%90%EC%B0%A8%EB%A1%9C.zip,TS_차대차_영상_T자형교차로.zip,TL_차대차_영상_T자형교차로.zip,bb_1_150530_vehicle_224_23223.mp4,bb_1_150530_vehicle_224_23223.json
1.Training,T자형교차로,bb_1_160427_vehicle_144_025,1.Training/raw_data_231108_add/TS_차대차_영상_T자형교차로.zip,1.Training/label_data_231108_add/TL_차대차_영상_T자형교차로.zip,https://data.taeo-dev.com/dataset/traffic/1.Training/raw_data_231108_add/TS_%EC%B0%A8%EB%8C%80%EC%B0%A8_%EC%98%81%EC%83%81_T%EC%9E%90%ED%98%95%EA%B5%90%EC%B0%A8%EB%A1%9C.zip,https://data.taeo-dev.com/dataset/traffic/1.Training/label_data_231108_add/TL_%EC%B0%A8%EB%8C%80%EC%B0%A8_%EC%98%81%EC%83%81_T%EC%9E%90%ED%98%95%EA%B5%90%EC%B0%A8%EB%A1%9C.zip,TS_차대차_영상_T자형교차로.zip,TL_차대차_영상_T자형교차로.zip,bb_1_160427_vehicle_144_025.mp4,bb_1_160427_vehicle_144_025.json
1.Training,T자형교차로,bb_1_160704_vehicle_187_050,1.Training/raw_data_231108_add/TS_차대차_영상_T자형교차로.zip,1.Training/label_data_231108_add/TL_차대차_영상_T자형교차로.zip,https://data.taeo-dev.com/dataset/traffic/1.Training/raw_data_231108_add/TS_%EC%B0%A8%EB%8C%80%EC%B0%A8_%EC%98%81%EC%83%81_T%EC%9E%90%ED%98%95%EA%B5%90%EC%B0%A8%EB%A1%9C.zip,https://data.taeo-dev.com/dataset/traffic/1.Training/label_data_231108_add/TL_%EC%B0%A8%EB%8C%80%EC%B0%A8_%EC%98%81%EC%83%81_T%EC%9E%90%ED%98%95%EA%B5%90%EC%B0%A8%EB%A1%9C.zip,TS_차대차_영상_T자형교차로.zip,TL_차대차_영상_T자형교차로.zip,bb_1_160704_vehicle_187_050.mp4,bb_1_160704_vehicle_187_050.json
1.Training,T자형교차로,bb_1_160920_vehicle_144_232,1.Training/raw_data_231108_add/TS_차대차_영상_T자형교차로.zip,1.Training/label_data_231108_add/TL_차대차_영상_T자형교차로.zip,https://data.taeo-dev.com/dataset/traffic/1.Training/raw_data_231108_add/TS_%EC%B0%A8%EB%8C%80%EC%B0%A8_%EC%98%81%EC%83%81_T%EC%9E%90%ED%98%95%EA%B5%90%EC%B0%A8%EB%A1%9C.zip,https://data.taeo-dev.com/dataset/traffic/1.Training/label_data_231108_add/TL_%EC%B0%A8%EB%8C%80%EC%B0%A8_%EC%98%81%EC%83%81_T%EC%9E%90%ED%98%95%EA%B5%90%EC%B0%A8%EB%A1%9C.zip,TS_차대차_영상_T자형교차로.zip,TL_차대차_영상_T자형교차로.zip,bb_1_160920_vehicle_144_232.mp4,bb_1_160920_vehicle_144_232.json
1.Training,T자형교차로,bb_1_191112_vehicle_142_085,1.Training/raw_data_231108_add/TS_차대차_영상_T자형교차로.zip,1.Training/label_data_231108_add/TL_차대차_영상_T자형교차로.zip,https://data.taeo-dev.com/dataset/traffic/1.Training/raw_data_231108_add/TS_%EC%B0%A8%EB%8C%80%EC%B0%A8_%EC%98%81%EC%83%81_T%EC%9E%90%ED%98%95%EA%B5%90%EC%B0%A8%EB%A1%9C.zip,https://data.taeo-dev.com/dataset/traffic/1.Training/label_data_231108_add/TL_%EC%B0%A8%EB%8C%80%EC%B0%A8_%EC%98%81%EC%83%81_T%EC%9E%90%ED%98%95%EA%B5%90%EC%B0%A8%EB%A1%9C.zip,TS_차대차_영상_T자형교차로.zip,TL_차대차_영상_T자형교차로.zip,bb_1_191112_vehicle_142_085.mp4,bb_1_191112_vehicle_142_085.json
1.Training,T자형교차로,bb_1_201120_vehicle_13_013,1.Training/raw_data_231108_add/TS_차대차_영상_T자형교차로.zip,1.Training/label_data_231108_add/TL_차대차_영상_T자형교차로.zip,https://data.taeo-dev.com/dataset/traffic/1.Training/raw_data_231108_add/TS_%EC%B0%A8%EB%8C%80%EC%B0%A8_%EC%98%81%EC%83%81_T%EC%9E%90%ED%98%95%EA%B5%90%EC%B0%A8%EB%A1%9C.zip,https://data.taeo-dev.com/dataset/traffic/1.Training/label_data_231108_add/TL_%EC%B0%A8%EB%8C%80%EC%B0%A8_%EC%98%81%EC%83%81_T%EC%9E%90%ED%98%95%EA%B5%90%EC%B0%A8%EB%A1%9C.zip,TS_차대차_영상_T자형교차로.zip,TL_차대차_영상_T자형교차로.zip,bb_1_201120_vehicle_13_013.mp4,bb_1_201120_vehicle_13_013.json
1.Training,T자형교차로,bb_1_210201_vehicle_236_31703,1.Training/raw_data_231108_add/TS_차대차_영상_T자형교차로.zip,1.Training/label_data_231108_add/TL_차대차_영상_T자형교차로.zip,https://data.taeo-dev.com/dataset/traffic/1.Training/raw_data_231108_add/TS_%EC%B0%A8%EB%8C%80%EC%B0%A8_%EC%98%81%EC%83%81_T%EC%9E%90%ED%98%95%EA%B5%90%EC%B0%A8%EB%A1%9C.zip,https://data.taeo-dev.com/dataset/traffic/1.Training/label_data_231108_add/TL_%EC%B0%A8%EB%8C%80%EC%B0%A8_%EC%98%81%EC%83%81_T%EC%9E%90%ED%98%95%EA%B5%90%EC%B0%A8%EB%A1%9C.zip,TS_차대차_영상_T자형교차로.zip,TL_차대차_영상_T자형교차로.zip,bb_1_210201_vehicle_236_31703.mp4,bb_1_210201_vehicle_236_31703.json
